Id,Zip Code,Status,Days,Created at
1875,360050,enable,5,2/24/2018
1876,360320,enable,5,2/24/2018
1877,360360,enable,5,2/24/2018
1878,360380,enable,5,2/24/2018
1879,360430,enable,5,2/24/2018
1880,360440,enable,5,2/24/2018
1881,360470,enable,5,2/24/2018
1882,360480,enable,5,2/24/2018
1883,360545,enable,5,2/24/2018
1884,360550,enable,5,2/24/2018
1885,361140,enable,5,2/24/2018
1886,361141,enable,5,2/24/2018
1887,361330,enable,5,2/24/2018
1888,361347,enable,5,2/24/2018
1889,362110,enable,5,2/24/2018
1890,362140,enable,5,2/24/2018
1891,362150,enable,5,2/24/2018
1892,362205,enable,5,2/24/2018
1893,362225,enable,5,2/24/2018
1894,362226,enable,5,2/24/2018
1895,362235,enable,5,2/24/2018
1896,362245,enable,5,2/24/2018
1897,362250,enable,5,2/24/2018
1898,362268,enable,5,2/24/2018
1899,362275,enable,5,2/24/2018
1900,362276,enable,5,2/24/2018
1901,362315,enable,5,2/24/2018
1902,362510,enable,5,2/24/2018
1903,362565,enable,5,2/24/2018
1904,362620,enable,5,2/24/2018
1905,362625,enable,5,2/24/2018
1906,362630,enable,5,2/24/2018
1907,362640,enable,5,2/24/2018
1908,362710,enable,5,2/24/2018
1909,362720,enable,5,2/24/2018
1910,362725,enable,5,2/24/2018
1911,363310,enable,5,2/24/2018
1912,363320,enable,5,2/24/2018
1913,363435,enable,5,2/24/2018
1914,364060,enable,5,2/24/2018
1915,364110,enable,5,2/24/2018
1916,364120,enable,5,2/24/2018
1917,364140,enable,5,2/24/2018
1918,364150,enable,5,2/24/2018
1919,364270,enable,5,2/24/2018
1920,364505,enable,5,2/24/2018
1921,364510,enable,5,2/24/2018
1922,364750,enable,5,2/24/2018
1923,365440,enable,5,2/24/2018
1924,365540,enable,5,2/24/2018
1925,370020,enable,5,2/24/2018
1926,370605,enable,5,2/24/2018
1927,370615,enable,5,2/24/2018
1928,370665,enable,5,2/24/2018
1929,370670,enable,5,2/24/2018
1930,370675,enable,5,2/24/2018
1931,382115,enable,5,2/24/2018
1932,382240,enable,5,2/24/2018
1933,382255,enable,5,2/24/2018
1934,382260,enable,5,2/24/2018
1935,382305,enable,5,2/24/2018
1936,382308,enable,5,2/24/2018
1937,382320,enable,5,2/24/2018
1938,382426,enable,5,2/24/2018
1939,382433,enable,5,2/24/2018
1940,382450,enable,5,2/24/2018
1941,382730,enable,5,2/24/2018
1942,382732,enable,5,2/24/2018
1943,382735,enable,5,2/24/2018
1944,382825,enable,5,2/24/2018
1945,382835,enable,5,2/24/2018
1946,382840,enable,5,2/24/2018
1947,382845,enable,5,2/24/2018
1948,382855,enable,5,2/24/2018
1949,382860,enable,5,2/24/2018
1950,382865,enable,5,2/24/2018
1951,382870,enable,5,2/24/2018
1952,383276,enable,5,2/24/2018
1953,383310,enable,5,2/24/2018
1954,383325,enable,5,2/24/2018
1955,383345,enable,5,2/24/2018
1956,383350,enable,5,2/24/2018
1957,383430,enable,5,2/24/2018
1958,384272,enable,5,2/24/2018
1959,384285,enable,5,2/24/2018
1960,384290,enable,5,2/24/2018
1961,384421,enable,5,2/24/2018
1962,385320,enable,5,2/24/2018
1963,385330,enable,5,2/24/2018
1964,385421,enable,5,2/24/2018
1965,385505,enable,5,2/24/2018
1966,385510,enable,5,2/24/2018
1967,385515,enable,5,2/24/2018
1968,385530,enable,5,2/24/2018
1969,387411,enable,5,2/24/2018
1970,388140,enable,5,2/24/2018
1971,388160,enable,5,2/24/2018
1972,388245,enable,5,2/24/2018
1973,388250,enable,5,2/24/2018
1974,388365,enable,5,2/24/2018
1975,388430,enable,5,2/24/2018
1976,388450,enable,5,2/24/2018
1977,388465,enable,5,2/24/2018
1978,388480,enable,5,2/24/2018
1979,388510,enable,5,2/24/2018
1980,388570,enable,5,2/24/2018
1981,388580,enable,5,2/24/2018
1982,388640,enable,5,2/24/2018
1983,391220,enable,5,2/24/2018
1984,391250,enable,5,2/24/2018
1985,391340,enable,5,2/24/2018
1986,391430,enable,5,2/24/2018
1987,391440,enable,5,2/24/2018
1988,391445,enable,5,2/24/2018
1989,391450,enable,5,2/24/2018
1990,391510,enable,5,2/24/2018
1991,391770,enable,5,2/24/2018
1992,391775,enable,5,2/24/2018
1993,391780,enable,5,2/24/2018
1994,392161,enable,5,2/24/2018
1995,392162,enable,5,2/24/2018
1996,393135,enable,5,2/24/2018
1997,394155,enable,5,2/24/2018
1998,394235,enable,5,2/24/2018
1999,394240,enable,5,2/24/2018
2000,394250,enable,5,2/24/2018
2001,394320,enable,5,2/24/2018
2002,394326,enable,5,2/24/2018
2003,394330,enable,5,2/24/2018
2004,394335,enable,5,2/24/2018
2005,394340,enable,5,2/24/2018
2006,394350,enable,5,2/24/2018
2007,394352,enable,5,2/24/2018
2008,394355,enable,5,2/24/2018
2009,394360,enable,5,2/24/2018
2010,394405,enable,5,2/24/2018
2011,394530,enable,5,2/24/2018
2012,394655,enable,5,2/24/2018
2013,394670,enable,5,2/24/2018
2014,394690,enable,5,2/24/2018
2015,396020,enable,5,2/24/2018
2016,396035,enable,5,2/24/2018
2017,396040,enable,5,2/24/2018
